URI;rdf:type;skos:prefLabel@fr;skos:altLabel@fr;skos:hiddenLabel@fr;skos:definition@fr;skos:narrower;skos:broader;skos:related;skos:scopeNote;skos:changeNote
000001;skos:Concept;~termes non classés;;;;;;;;PMB12
000002;skos:Concept;ABBEVILLE;;;;;001134;;;
000003;skos:Concept;ABBEVILLE, Théâtre;;;;;000002;;;
000004;skos:Concept;ACADIE;;;;;000743;;;PMB3100
000005;skos:Concept;AGDE;;;;;000450;;;
000006;skos:Concept;AGDE, Cathédrale Saint-Étienne;;;;;000005;;;
000007;skos:Concept;AGEN;;;;;000565;;;PMB3101
000008;skos:Concept;AGEN, Archives communales;;;;;000007;;;PMB3102
000009;skos:Concept;AIGUILLON;;;;;000565;;;
000010;skos:Concept;AIGUILLON, Château;;;;;000009;;;
000011;skos:Concept;AIN;;;;;000985;;;
000012;skos:Concept;AIRE-SUR-LA-LYS;;;;;000914;;;
000013;skos:Concept;AISNE;;;;;000932;;;
000014;skos:Concept;AIX-EN-PROVENCE;;;;;000158;;;PMB3103
000015;skos:Concept;AIX-EN-PROVENCE, Académie de musique;;;;;000014;;;PMB3104
000016;skos:Concept;AIX-EN-PROVENCE, Bibliothèque Méjanes;;;;;000014;;;PMB3105
000017;skos:Concept;AIX-EN-PROVENCE, Cathédrale Saint-Sauveur;;;;;000014;;;PMB3106
000018;skos:Concept;AIX-EN-PROVENCE, Collège des jésuites;;;;;000014;;;
000019;skos:Concept;AIX-EN-PROVENCE, Maîtrise métropolitaine;;;;;000014;;;PMB3107
000020;skos:Concept;AIX-EN-PROVENCE, Théâtre du marquis de la Barben;;;;;000014;;;
000021;skos:Concept;ALBI;;;;;001151;;;PMB3108
000022;skos:Concept;ALBI, Cathédrale Sainte-Cécile;;;;;000021;;;
000023;skos:Concept;ALENÇON;;;;;000766;;;
000024;skos:Concept;ALÈS;;;;;000408;;;
000025;skos:Concept;ALET;;;;;000081;;;
000026;skos:Concept;ALLEMAGNE;;;;;000527;;;PMB3109
000027;skos:Concept;ALLIER;;;;;000087;;;
000028;skos:Concept;ALPES-DE-HAUTE-PROVENCE;;;;;000952;;;
000029;skos:Concept;ALPES-MARITIMES;;;;;000952;;;
000030;skos:Concept;ALSACE;;;Région de France.;;000490;;;PMB3110
000031;skos:Concept;ALSACE, Mont Sainte-Odile;;;;;000030;;;PMB3111
000032;skos:Concept;ALTORF;;;;;000108;;;
000033;skos:Concept;AMERIQUE LATINE;;;;;;;;PMB3112
000034;skos:Concept;AMIENS;;;;;001134;;;PMB3113
000035;skos:Concept;AMIENS, Cathédrale Notre-Dame;;;;;000034;;;
000036;skos:Concept;AMIENS, Comédie Française et Italienne;;;;;000034;;;
000037;skos:Concept;AMSTERDAM;;;;;000919;;;
000038;skos:Concept;AMSTERDAM, Pensionnat de Lucie Quartier;;;;;000037;;;
000039;skos:Concept;AMSTERDAM, Théâtre français;;;;;000037;;;
000040;skos:Concept;ANET;;;;;000380;;;
000041;skos:Concept;ANET, Château du duc de Vendôme;;;;;000040;;;
