URI;rdf:type;skos:prefLabel;skos:altLabel;skos:hiddenLabel;skos:definition;skos:narrower;skos:broader;skos:scopeNote;skos:changeNote
000001;skos:Concept;~termes non classés;;;;;;;PMB6
000002;skos:Concept;a cappella;;;;;;;PMB23598
000003;skos:Concept;abbaye;;;;;;;
000004;skos:Concept;abonnement de musique;;;;;;;
000005;skos:Concept;abrégé;;;;;;;
000006;skos:Concept;Absoute;;;;;001276;;EP346687
000007;skos:Concept;acacciatura;;;;;;;EP345645
000008;skos:Concept;académie;Institut;;;;;;"EP345646;PMB1100"
000009;skos:Concept;académie de danse;;;;;000008;;EP345647
000010;skos:Concept;académie de musique;;;;;000008;;"EP345648;PMB1101"
000011;skos:Concept;académie de peinture;;;;;;;
000012;skos:Concept;académie de poésie;;;;;000008;;EP345649
000013;skos:Concept;académie provinciale;;;;;000008;;EP345650
000014;skos:Concept;académie scientifique;;;;;000008;;EP345651
000015;skos:Concept;accent;;;;;000048;;EP345721
000016;skos:Concept;accent psalmodique;;;;;;;
000017;skos:Concept;accentuation;;;;;;;EP345652
000018;skos:Concept;accident;;;;;;;
000019;skos:Concept;accompagnateur;;;;;001476;;EP346426
000020;skos:Concept;accompagnement;;;;;;;"EP345654;PMB1102"
000021;skos:Concept;accompagnement instrumental;;;;;;;EP345661
000022;skos:Concept;accord;;;;;001050;;"EP346029;PMB1104"
000023;skos:Concept;accord d'instrument;;;;;;;EP345662
000024;skos:Concept;accordeur;;;;;;;
000025;skos:Concept;acoustique;;;;;;;"EP345663;PMB1106"
000026;skos:Concept;acoustique des cordes;;;;;000025;;EP345664
000027;skos:Concept;acoustique d'un lieu;;;;;000025;;EP345682
000028;skos:Concept;acte;;;;;;;EP345685
000029;skos:Concept;acte de décès;;;;;;;
000030;skos:Concept;acte de l'état civil;;;;;000729;;EP345986
000031;skos:Concept;acte de mariage;;;;;000030;;EP345987
000032;skos:Concept;acte de naissance;;;;;;;
000033;skos:Concept;acte de vente;;;;;;;
000034;skos:Concept;acte notarié;;;;;000729;;EP345989
000035;skos:Concept;acteur;comédien##comédienne##tragédien##tragédienne;;;;;;"EP345686;PMB1109"
000036;skos:Concept;actio;;;;;;;
000037;skos:Concept;action dramatique;;;;;;;EP345694
000038;skos:Concept;activité musicale;;;;;;;EP345703
000039;skos:Concept;actrice;;;;;000035;;"EP345687;PMB1110"
000040;skos:Concept;adaptation d'oeuvre musicale;;;;;;;EP345704
000041;skos:Concept;administration d'une institution;;;;;002480;;EP347008
000042;skos:Concept;adresse;;;;;;;EP345705
000043;skos:Concept;adresse d'éditeur;;;;;000042;;EP345706
000044;skos:Concept;affect;;;;;000870;;"EP346082;PMB1111"
000045;skos:Concept;affiche;;;;;;;EP345707
000046;skos:Concept;agnus;;;;;;;
000047;skos:Concept;agogique;;;;;;;EP345708
000048;skos:Concept;agrément;;;;;;;"EP345720;PMB1112"
000049;skos:Concept;air;;;;;001544;;"EP346603;PMB1113"
000050;skos:Concept;air à boire;;;;;000049;;"EP346604;PMB1114"
000051;skos:Concept;air à chanter;;;;;;;
000052;skos:Concept;air à danser;;;;;;;"EP345735;PMB1116"
000053;skos:Concept;air à manger;;;;;;;PMB1117
000054;skos:Concept;air bachique;;;;;;;
000055;skos:Concept;air de ballet;;;;;000981;;EP346517
000056;skos:Concept;air de comédie;;;;;000981;;EP346518
000057;skos:Concept;air de concert;;;;;;;PMB1119
000058;skos:Concept;air de cour;;;;;000049;;"EP346605;PMB1120"
000059;skos:Concept;air de danse;;;;;;;
000060;skos:Concept;air de dévotion;;;;;;;
000061;skos:Concept;air de pantomime;;;;;;;
000062;skos:Concept;air d'opéra;;;;;;;PMB1118
000063;skos:Concept;air espagnol;;;;;000049;;"EP346606;PMB1123"
000064;skos:Concept;air instrumental;;;;;001533;;"EP346565;PMB1124"
000065;skos:Concept;air italien;;;;;000049;;"EP346607;PMB1125"
000066;skos:Concept;air napolitain;;;;;;;PMB1126
000067;skos:Concept;air patriotique;;;;;;;
000068;skos:Concept;air populaire;;;;;;;PMB23126
000069;skos:Concept;air sérieux;;;;;000049;;"EP346608;PMB1127"
000070;skos:Concept;air spirituel;;;;;000049;;"EP346609;PMB1128"
000071;skos:Concept;air tendre;;;;;;;
000072;skos:Concept;air turc;;;;;;;PMB1130
000073;skos:Concept;air vocal;;;;;;;EP345762
000074;skos:Concept;allégorie;;;;;001830;;EP346771
000075;skos:Concept;allemande;;;;;000052;;"EP345736;PMB1133"
000076;skos:Concept;almanach;;;;;;;"EP345763;PMB22894"
000077;skos:Concept;almanach musical;;;;;;;PMB1134
000078;skos:Concept;almanach royal;;;;;000076;;EP345764
000079;skos:Concept;altération;;;;;;;
000080;skos:Concept;altération accidentelle;;;;;;;
000081;skos:Concept;altiste;;;;;;;
000082;skos:Concept;alto;;;;;;;PMB1135
000083;skos:Concept;alto voix;;;;;000413;;EP346430
000084;skos:Concept;ambitus;;;;;;;
000085;skos:Concept;âme d'instrument à archet;;;;;;;
000086;skos:Concept;amphigouri;;;;;;;
000087;skos:Concept;amplitude d'un son;;;;;;;
000088;skos:Concept;ana;;;;;;;
000089;skos:Concept;anapeste;;;;;;;
000090;skos:Concept;anche;;;;;000890;;EP346109
000091;skos:Concept;anche à pirouette;;;;;;;
000092;skos:Concept;anche double;;;;;;;
000093;skos:Concept;anche faible;;;;;;;
000094;skos:Concept;anche forte;;;;;;;
000095;skos:Concept;anche libre;;;;;;;
000096;skos:Concept;anche lippale;;;;;;;
000097;skos:Concept;anche simple;;;;;;;
000098;skos:Concept;André;;;;;;;
000099;skos:Concept;angelique;;;;;;;
000100;skos:Concept;Angelus;;;;;;;
000101;skos:Concept;Anges gardiens;;;;;;;
000102;skos:Concept;anglaise;;;;;;;
000103;skos:Concept;Anne;;;;;;;
000104;skos:Concept;Annonciation;;;;;;;
000105;skos:Concept;annonciation de la Vierge Marie;;;;;;;PMB1137
000106;skos:Concept;anse de cloche;;;;;;;
000107;skos:Concept;anthem;;;;;;;PMB1138
000108;skos:Concept;anthologie;;;;;001975;;EP346819
000109;skos:Concept;antienne;;;;;;;"EP345768;PMB1139"
000110;skos:Concept;antienne à la Vierge Marie;;;;;;Salve Regina, Alma Redemptoris, Ave Regina, Regina Caeli, Speciosa facta est, Inviolata, Sub tuum.;PMB1140
000111;skos:Concept;antienne à Marie;;;;;000109;;EP345769
000112;skos:Concept;antienne au Saint Sacrement;;;;;;;PMB1141
000113;skos:Concept;antienne de communion;;;;;;;
000114;skos:Concept;antienne d'offertoire;;;;;;;
000115;skos:Concept;antiphonaire;;;;;001283;;EP346361
000116;skos:Concept;Antoine de Padoue;;;;;;;
000117;skos:Concept;apôtre;;;;;;Isti sunt qui viventes;PMB1142
000118;skos:Concept;Apôtres;;;;;;;
000119;skos:Concept;appoggiature;;;;;000048;;EP345722
000120;skos:Concept;apprentissage;;;;;000789;;EP346045
000121;skos:Concept;archet;;;;;000888;;"EP346097;PMB1143"
000122;skos:Concept;archetier;;;;;000883;;EP346089
000123;skos:Concept;archiluth;;;;;;;
000124;skos:Concept;architecte;;;;;;;EP345770
000125;skos:Concept;architecture;;;;;000244;;"EP345801;PMB1144"
000126;skos:Concept;architecture de théâtre;;;;;000691;;EP345935
000127;skos:Concept;archives;;;;;;;"EP345771;PMB23320"
000128;skos:Concept;argent;;;;;;;
000129;skos:Concept;argument;;;;;;;
000130;skos:Concept;aria;;;;;000049;;"EP346610;PMB1145"
000131;skos:Concept;ariette;;;;;000049;;"EP346611;PMB1146"
000132;skos:Concept;ariette instrumentale;;;;;;;PMB1147
000133;skos:Concept;arithmétique;;;;;;;
000134;skos:Concept;Arlequin;;;;;;;PMB1148
000135;skos:Concept;armoirie;;;;;;;PMB1149
000136;skos:Concept;armoiries;;;;;;;EP345773
000137;skos:Concept;armomes;;;;;;;
000138;skos:Concept;arpège;;;;;;;
000139;skos:Concept;arpègement;;;;;000048;;EP345723
000140;skos:Concept;arpeggione;;;;;;;PMB23293
000141;skos:Concept;arrangement;;;;;;;EP345774
000142;skos:Concept;arrangeur;;;;;001476;;EP346427
000143;skos:Concept;ars antiqua;;;;;;;PMB1150
000144;skos:Concept;ars nova;;;;;;;PMB1151
000145;skos:Concept;art baroque;;;;;;;PMB1152
000146;skos:Concept;art de cour;;;;;;;PMB23035
000147;skos:Concept;art de la table;;;;;;;PMB23034
000148;skos:Concept;art décoratif;;;;;;;PMB1153
000149;skos:Concept;art du spectacle;;;;;;;PMB1154
000150;skos:Concept;art du théâtre;;;;;;;PMB1155
000151;skos:Concept;art équestre;;;;;;;PMB1156
000152;skos:Concept;art musical;;;;;;;PMB23481
000153;skos:Concept;art théâtral;;;;;;;PMB1157
000154;skos:Concept;art vocal;;;;;;;PMB1158
000155;skos:Concept;article de périodique;;;;;;;PMB1159
000156;skos:Concept;articulation;;;;;;;
000157;skos:Concept;articulation musicale;;;;;;;EP345776
000158;skos:Concept;arts graphiques;;;;;;;
